Law Enforcement Agency,Agency Type,STATE,County Name,Program Type,ICE Signed Date,Location,Jurisdiction Population (2024 US Census ACS
Odum Police Department,Municipality,GEORGIA,Wayne County,Task Force Model,"Jan 26, 2026","Odum, GA 31555",495
McCracken County Sheriff's Office,County,KENTUCKY,McCracken County,Task Force Model,"Jan 26, 2026","Paducah, KY 42003",67550
Pendleton County Sheriff's Office,County,KENTUCKY,Pendleton County,Task Force Model,"Jan 26, 2026","Falmouth, KY 41040",14844
Isle Police Department,Municipality,MINNESOTA,Mille Lacs County,Task Force Model,"Jan 26, 2026","Isle, MN 56342",827
Wayne County Sheriff's Department,County,MISSISSIPPI,Wayne County,Task Force Model,"Jan 26, 2026","Waynesboro, MS 39367",19749
Grundy County Sheriff's Office,County,MISSOURI,Grundy County,Task Force Model,"Jan 26, 2026","Trenton, MO 64683",9766
Jefferson County Sheriff's Office,County,MISSOURI,Jefferson County,Task Force Model,"Jan 26, 2026","Hillsboro, MO 63050",231888
New Madrid County Sheriff's Office,County,MISSOURI,New Madrid County,Task Force Model,"Jan 26, 2026","New Madrid, MO 63869",15212
Pineville Police Department,Municipality,MISSOURI,McDonald County,Task Force Model,"Jan 26, 2026","Pineville, MO 64856",843
Reeds Spring Police Department,Municipality,MISSOURI,Stone County,Task Force Model,"Jan 26, 2026","Reeds Spring, MO 65737",1224
Washington County Sheriff's Office,County,MISSOURI,Washington County,Task Force Model,"Jan 26, 2026","Potosi, MO 63664",23583
Epping Police Department,Municipality,NEW HAMPSHIRE,Rockingham County,Task Force Model,"Jan 26, 2026","Epping, NH 03042",null
CNMI Department of Corrections,State,NORTHERN MARIANA ISLANDS,#NA,Jail Enforcement Model,"Jan 26, 2026","Susupe, Saipan 96950",null
CNMI Department of Public Safety,State,NORTHERN MARIANA ISLANDS,#NA,Task Force Model,"Jan 26, 2026","Susupe, Saipan 96950",null
Russellville Police Department,Municipality,OHIO,Brown County,Task Force Model,"Jan 26, 2026","Russellville, OH 45168",548
Bessemer Borough Police Department,Municipality,PENNSYLVANIA,Lawrence County,Task Force Model,"Jan 26, 2026","Bessemer, PA 16112",null
Bradford Police Department,Municipality,PENNSYLVANIA,McKean County,Task Force Model,"Jan 26, 2026","Bradford, PA 16701",7538
Lewistown Borough Constable's Office,Municipality,PENNSYLVANIA,Miffin County,Task Force Model,"Jan 26, 2026","Lewistown, PA 17044",null
Schuylkill County Sheriff's Office,County,PENNSYLVANIA,Schuylkill County< PA,Task Force Model,"Jan 26, 2026","Pottsville, PA 17901",null
Clinton Police Department,Municipality,SOUTH CAROLINA,Laurens County,Task Force Model,"Jan 26, 2026","Clinton, SC 29325",7852
Centerville Police Department,Municipality,SOUTH DAKOTA,Turner County,Task Force Model,"Jan 26, 2026","Centerville, SD 57014",958
Meigs County Sheriff's Office,County,TENNESSEE,Meigs County,Warrant Service Officer,"Jan 26, 2026","Decatur, TN 37322",13937
Sequatchie County Sheriff's Office,County,TENNESSEE,Sequatchie County,Warrant Service Officer,"Jan 26, 2026","Dunlap, TN 37327",17620
Weakley County Sheriff's Office,County,TENNESSEE,Weakley County,Warrant Service Officer,"Jan 26, 2026","Dresden, TN 38225",33162
Wilson County Sheriff's Office,County,TENNESSEE,Wilson County,Warrant Service Officer,"Jan 26, 2026","Lebanon, TN 37087",169948
Armstrong County Sheriff's Office,County,TEXAS,Armstrong County,Task Force Model,"Jan 26, 2026","Claude, TX 79019",1809
Brewster County Sheriff's Office,County,TEXAS,Brewster County,Warrant Service Officer,"Jan 26, 2026","Alpine, TX 79830",9508
Cameron County Sheriff's Office,County,TEXAS,Cameron County,Warrant Service Officer,"Jan 26, 2026","Olmito, TX 78575",431874
Cass County Sheriff's Office,County,TEXAS,Cass County,Jail Enforcement Model,"Jan 26, 2026","Linden, TX 75563",28622
Collin County Sheriff's Office,County,TEXAS,Collin County,Jail Enforcement Model,"Jan 26, 2026","McKinney, TX 75071",1254658
Denton County Sheriff's Office,County,TEXAS,Denton County,Task Force Model,"Jan 26, 2026","Denton, TX 76208",1045120
East Mountain Police Department,Municipality,TEXAS,Upshur County,Task Force Model,"Jan 26, 2026","Gilmer, TX 75645",964
Fannin County Criminal District Attorney's Office,County,TEXAS,Fannin County,Task Force Model,"Jan 26, 2026","Bonham, TX 75418",38650
Fannin County Sheriff's Office,County,TEXAS,Fannin County,Task Force Model,"Jan 26, 2026","Bonham, TX 75418",38650
Freestone County Constable Precinct 3,County,TEXAS,Freestone County,Task Force Model,"Jan 26, 2026","Teague, TX 75860",20645
Hallettsville Police Department,Municipality,TEXAS,Lavaca County,Task Force Model,"Jan 26, 2026","Hallettsville, TX 77964",2745
Haskell Police Department,Municipality,TEXAS,Haskell County,Task Force Model,"Jan 26, 2026","Haskell, TX 79521",3067
Hollywood Park Police Department,Municipality,TEXAS,Bexar County,Task Force Model,"Jan 26, 2026","San Antonio, TX 78232",3128
Hopkins County Sheriff's Office,County,TEXAS,Hopkins County,Task Force Model,"Jan 26, 2026","Sulphur Springs, TX 75482",38784
Kaufman County Sheriff's Office,County,TEXAS,Kaufman County,Jail Enforcement Model,"Jan 26, 2026","Kaufman, TX 75142",197829
Kingsville Police Department,Municipality,TEXAS,Kleberg County,Task Force Model,"Jan 26, 2026","Kingsville, TX 78363",24884
Limestone County Sheriff's Office,County,TEXAS,Limestone County,Warrant Service Officer,"Jan 26, 2026","Groesbeck, TX 76642",22569
Nueces County Constable Precinct 4,County,TEXAS,Nueces County,Task Force Model,"Jan 26, 2026","Port Aransas, TX 78373",353125
San Augustine County Sheriff's Office,County,TEXAS,San Augustine County,Task Force Model,"Jan 26, 2026","San Augustine, TX 75972",7767
Stamford Police Department,County,TEXAS,Jones County,Task Force Model,"Jan 26, 2026","Stamford, TX 79553",20850
Val Verde County Sheriff's Office,County,TEXAS,Val Verde County,Warrant Service Officer,"Jan 26, 2026","Del Rio, TX 78840",47999
Young County Sheriff's Office,County,TEXAS,Young County,Task Force Model,"Jan 26, 2026","Graham, TX 76450",18236
Hinton Police Department,Municipality,WEST VIRGINIA,Summers County,Task Force Model,"Jan 26, 2026","Hinton, WV 25951",2159
Hurricane Police Department,Municipality,WEST VIRGINIA,Putnam County,Task Force Model,"Jan 26, 2026","Hurricane, WV 25526",6813
Lewis County Sheriff's Office,County,WEST VIRGINIA,Lewis County,Task Force Model,"Jan 26, 2026","Weston, WV 26452",16477
McDowell County Sheriff's Office,County,WEST VIRGINIA,McDowell County,Task Force Model,"Jan 26, 2026","Welch, WV 24801",17147
Richwood Police Department,Municipality,WEST VIRGINIA,Nicholas County,Task Force Model,"Jan 26, 2026","Richwood, WV 26261",1607
Clarke County Sheriff's Office,County,ALABAMA,Clarke County,Task Force Model,"Jan 30, 2026","Grove Hill, AL 36451",22142
Wayne County Sheriff's Office,County,GEORGIA,Wayne County,Task Force Model,"Jan 30, 2026","Jesup, GA 31546",32132
Falmouth Police Department,Municipality,KENTUCKY,Pendleton County,Task Force Model,"Jan 30, 2026","Falmouth, KY 41040",2206
Greene Washington Regional Police Department,Municipality,PENNSYLVANIA,Greene County,Task Force Model,"Jan 30, 2026","Graysville, PA 15337",null
Hood County Sheriff's Office,County,TEXAS,Hood County,Task Force Model,"Jan 30, 2026","Granbury, TX 76048",69126
Liberty County Sheriff's Office,County,TEXAS,Liberty County,Warrant Service Officer,"Jan 30, 2026","Liberty, TX 77575",115042
McMullen County Sheriff's Office,County,TEXAS,McMullen County,Task Force Model,"Jan 30, 2026","Tilden, TX 78072",565
Real County Sheriff's Office,County,TEXAS,Real County,Warrant Service Officer,"Jan 30, 2026","Leakey, TX 78873",2772
Moorefield Police Department,Municipality,WEST VIRGINIA,Hardy County,Task Force Model,"Jan 30, 2026","Moorefield, WV 26836",2679
Cherokee County Sheriff's Office,County,ALABAMA,Cherokee County,Task Force Model,"Feb 10, 2026","Centre, AL 35960",26138
Littleville Police Department,Municipality,ALABAMA,Colbert County,Task Force Model,"Feb 10, 2026","Littleville, AL 35632",1054
Arkansas Division of Law Enforcement Standards and Training,State,ARKANSAS,Pulaski County,Task Force Model,"Feb 10, 2026","Little Rock, AR 72209",3088354
Black Rock Police Department,Municipality,ARKANSAS,Lawrence County,Task Force Model,"Feb 10, 2026","Black Rock, AR 72415",630
University of South Florida Police Department,Municipality,FLORIDA,Hillsborough County,Task Force Model,"Feb 10, 2026","Tampa, FL 33620",null
Pearson Police Department,Municipality,GEORGIA,Atkinson County,Task Force Model,"Feb 10, 2026","Pearson, GA 31642",1898
Stinesville Police Department,Municipality,INDIANA,Monroe County,Task Force Model,"Feb 10, 2026","Stinesville, IN 47464",202
Caney Police Department,Municipality,KANSAS,Montgomery County,Task Force Model,"Feb 10, 2026","Caney, KS 67333",1726
Pottawatomie County Sheriff's Office,County,KANSAS,Pottawatomie County,Warrant Service Officer,"Feb 10, 2026","Westmoreland, KS 66549",26876
Carthage Police Department,Municipality,MISSISSIPPI,Leake County,Task Force Model,"Feb 10, 2026","Carthage, MS 39051",4855
Neshoba County Sheriff's Office,County,MISSISSIPPI,Neshoba County,Task Force Model,"Feb 10, 2026","Philadelphia, MS 39350",28973
Newton County Sheriff's Department,County,MISSISSIPPI,Newton County,Task Force Model,"Feb 10, 2026","Decatur, MS 39327",21063
Pearl Police Department,Municipality,MISSISSIPPI,Rankin County,Task Force Model,"Feb 10, 2026","Pearl, MS 39208",28458
Union Police Department,Municipality,MISSISSIPPI,Newton County,Task Force Model,"Feb 10, 2026","Union, MS 39365",2003
Lincoln County Sheriff's Office,County,MISSOURI,Lincoln County,Task Force Model,"Feb 10, 2026","Troy, MO 63379",65888
Bokchito Police Department,Municipality,OKLAHOMA,Bryant County,Task Force Model,"Feb 10, 2026","Bokchito, OK 74726",612
McIntosh County Sheriff's Office,County,OKLAHOMA,McIntosh County,Task Force Model,"Feb 10, 2026","Eufaula, OK 74432",19710
Stratford Police Department,Municipality,OKLAHOMA,Garvin County,Task Force Model,"Feb 10, 2026","Stratford, OK 74872",1427
Lebanon County District Attorney's Office,County,PENNSYLVANIA,Lebanon County,Task Force Model,"Feb 10, 2026","Lebanon, PA 17042",145319
"Lebanon County Regional Police Department ",Municipality,PENNSYLVANIA,Lebanon County,Task Force Model,"Feb 10, 2026","Lebanon, PA 17046",null
"Lebanon County Sheriff's Office ",County,PENNSYLVANIA,Lebanon County,Task Force Model,"Feb 10, 2026","Lebanon, PA 17042",145319
Mahanoy City Borough Police Department,Municipality,PENNSYLVANIA,Schuylkill County,Task Force Model,"Feb 10, 2026","Mahanoy City, PA 17948",3535
South Lebanon Township Police Department,Municipality,PENNSYLVANIA,Lebanon County,Task Force Model,"Feb 10, 2026","Lebanon, PA 17042",null
Gonzales County Sheriff's Office,County,TEXAS,Gonzales County,Task Force Model,"Feb 10, 2026","Gonzales, TX 78629",20040
Caldwell County Constable Precinct 2,County,TEXAS,Caldwell County,Task Force Model,"Feb 10, 2026","Luling, TX 78648",52430
"Cass County Sheriff's Office ",County,TEXAS,Cass County,Task Force Model,"Feb 10, 2026","Linden, Texas 75563",28622
Gonzales County Sheriff's Office,County,TEXAS,Gonzales County,Jail Enforcement Model,"Feb 10, 2026","Gonzales, TX 78629",20040
Kenedy County Sheriff's Office,County,TEXAS,Kenedy County,Task Force Model,"Feb 10, 2026","Sarita, TX 78385",330
"Menard County Sheriff's Office ",County,TEXAS,Menard County,Warrant Service Officer,"Feb 10, 2026","Menard, TX 76859",1911
Orange Grove Police Department,Municipality,TEXAS,Jim Wells County,Task Force Model,"Feb 10, 2026","Orange Grove, TX 78372",1182
Saint Hedwig Marshal's Office,Municipality,TEXAS,Bexar County,Task Force Model,"Feb 10, 2026","Saint Hedwig, TX 78152",2377
"Tom Green County Sheriff's Office ",County,TEXAS,Tom Green County,Warrant Service Officer,"Feb 10, 2026","San Angelo, TX 76903",120103
Upshur County Constable Precinct 1,County,TEXAS,Upshur County,Task Force Model,"Feb 10, 2026","Gilmer, TX 75644",44050
Pleasants County Sheriff's Office,County,WEST VIRGINIA,Pleasants County,Task Force Model,"Feb 10, 2026","St. Marys, WV 26170",7358
White Sulphur Springs Police Department,Municipality,WEST VIRGINIA,Greenbrier County,Task Force Model,"Feb 10, 2026","White Sulphur Springs, WV 24986",2154
Dunn County Sheriff's Office,County,WISCONSIN,Dunn County,Warrant Service Officer,"Feb 10, 2026","Menomonie, WI 54751",46135
"Sauk County Sheriff's Office ",County,WISCONSIN,Sauk County,Jail Enforcement Model,"Feb 10, 2026","Baraboo, WI 53913",66486
Cherokee Police Department,Municipality,ALABAMA,Cherokee County,Task Force Model,"Feb 14, 2026","Cherokee, AL 35616",967
Department of Public Safety-Crime Information Center,State,ARKANSAS,Pulaski County,Task Force Model,"Feb 14, 2026","Little Rock, AR 72201",3088354
Appling County Sheriff's Office,County,GEORGIA,Appling County,Task Force Model,"Feb 14, 2026","Baxley, GA 31513",18669
Hawk Point Police Department,Municipality,MISSOURI,Lincoln County,Task Force Model,"Feb 14, 2026","Hawk Point, MO 63349",761
Wheaton Police Department,Municipality,MISSOURI,Barry County,Task Force Model,"Feb 14, 2026","Wheaton, MO 64874",683
Milford Borough Police Department,Municipality,PENNSYLVANIA,Pike County,Task Force Model,"Feb 14, 2026","Milford, PA 18337",1144
Mount Holly Springs Borough Police Department,Municipality,PENNSYLVANIA,Cumberland County,Task Force Model,"Feb 14, 2026","Mount Holly Springs, PA 17065",2024
Delta County Sheriff's Office,County,TEXAS,Delta County,Task Force Model,"Feb 14, 2026","Cooper, TX 75432",5647
Edwards County Sheriff's Office,County,TEXAS,Edwards County,Task Force Model,"Feb 14, 2026","Rocksprings, TX 78880",1383
Montague County Sheriff's Office,County,TEXAS,Montague County,Warrant Service Officer,"Feb 14, 2026","Montague, TX 76251",21890
Fort Gay Police Department,Municipality,WEST VIRGINIA,Wayne County,Task Force Model,"Feb 14, 2026","Fort Gay, WV 25514",656
Montgomery Police Department,Municipality,WEST VIRGINIA,Fayette County,Task Force Model,"Feb 14, 2026","Montgomery, WV 25136",1198
Louisville Police Department,Municipality,MISSISSIPPI,Winston County,Task Force Model,"Feb 17, 2026","Louisville, MS 39339",5899
Perryville Police Department,Municipality,MISSOURI,Perry County,Task Force Model,"Feb 17, 2026","Perryville, MO 63775",8554
Roland Police Department,Municipality,OKLAHOMA,Sequoyah County,Task Force Model,"Feb 17, 2026","Roland, OK 74954",4021
Mahanoy Township Police Department,Municipality,PENNSYLVANIA,Schuylkill County,Task Force Model,"Feb 17, 2026","Mahanoy City, PA 17948",null
Franklin County Sheriff's Office,County,TEXAS,Franklin County,Task Force Model,"Feb 17, 2026","Mount Vernon, TX 75457",10912
Liberty County Constable Precinct 6,Municipality,TEXAS,Liberty County,Task Force Model,"Feb 17, 2026","Liberty, TX 77575",8974
Oldham County Sheriff's Office,County,TEXAS,Oldham County,Task Force Model,"Feb 17, 2026","Vega, TX 79092",1823
"Tye Police Department ",Municipality,TEXAS,Galveston County,Task Force Model,"Feb 17, 2026","Tye, TX 79563",1241
Clay County Sheriff's Office,County,WEST VIRGINIA,Clay County,Task Force Model,"Feb 17, 2026","Clay, WV 25043",7689
Paw Paw Police Department,Municipality,WEST VIRGINIA,Morgan County,Task Force Model,"Feb 17, 2026","Paw Paw, WV 25434",410
Green Lake County Sheriff's Office,County,WISCONSIN,Green Lake County,Warrant Service Officer,"Feb 17, 2026","Green Lake, WI 54941",19370
Walworth County Sheriff's Office,County,WISCONSIN,Walworth County,Warrant Service Officer,"Feb 17, 2026","Elkhorn, WI 53121",106029
Florida State University Police Department,Municipality,FLORIDA,Leon County,Task Force Model,"Feb 18, 2026","Tallahassee, FL 32306",null
Lake Hamilton Police Department,Municipality,FLORIDA,Polk County,Task Force Model,"Feb 18, 2026","Lake Hamilton, FL 33851",2126
Hendricks County Prosecutor's Office,County,INDIANA,Hendricks County,Task Force Model,"Feb 18, 2026","Danville, IN 46122",190629
Rowan County Sheriff's Office,County,KENTUCKY,Rowan County,Task Force Model,"Feb 18, 2026","Morehead, KY 40351",24675
Branson Police Department,Municipality,MISSOURI,Taney County,Task Force Model,"Feb 18, 2026","Buffalo, MO 65622",12869
Dallas County Sheriff's Office,County,MISSOURI,Dallas County,Task Force Model,"Feb 18, 2026","Buffalo, MO 65622",17877
"Ellington Police Department ",Municipality,MISSOURI,Reynolds County,Task Force Model,"Feb 18, 2026","Ellington, MO 63638",766
Seligman Police Department,Municipality,MISSOURI,Barry County,Task Force Model,"Feb 18, 2026","Seligman, MO 65745",917
Woodson Terrace Police Department,Municipality,MISSOURI,St. Louis County,Task Force Model,"Feb 18, 2026","Woodson Terrace, MO 63134",3888
Shohola Township Constable's Office,Municipality,PENNSYLVANIA,"Pike County ",Task Force Model,"Feb 18, 2026","Shohola, PA 18458",null
North Police Department,Municipality,SOUTH CAROLINA,Orangeburg County,Task Force Model,"Feb 18, 2026","North, SC 29112",677
Bedford County Sheriff's Office,County,TENNESSEE,Bedford County,Warrant Service Officer,"Feb 18, 2026","Shelbyville, TN 37160",54228
Shinnston Police Department,Municipality,WEST VIRGINIA,"Harrison County ",Task Force Model,"Feb 18, 2026","Shinnston, WV 26431",2258
Bacon County Sheriff's Office,County,GEORGIA,Bacon County,Task Force Model,"Feb 20, 2026","Alma, GA 31510",11045
Archer County Sheriff's Office,County,TEXAS,Archer County,Task Force Model,"Feb 20, 2026","Archer City, TX 76351",9155
Florala Police Department,Municipality,ALABAMA,Covington County,Task Force Model,"Feb 23, 2026","Florala, AL 36442",1930
Arkansas Department of Public Safety,State,ARKANSAS,Pulaski County,Task Force Model,"Feb 23, 2026","Little Rock, AR 72209",3088354
Chidester Police Department,Municipality,ARKANSAS,Ouachita County,Task Force Model,"Feb 23, 2026","Chidester, AR 71726",240
Carroll County Sheriff's Office,County,KENTUCKY,Carroll County,Task Force Model,"Feb 23, 2026","Carrollton, KY 41008",11111
Carroll County Sheriff's Office,County,KENTUCKY,Carroll County,Warrant Service Officer,"Feb 23, 2026","Carrollton, KY 41008",11111
Leake County Sheriff's Office,County,MISSISSIPPI,Leake County,Task Force Model,"Feb 23, 2026","Carthage, MS 39051",21462
Wiggins Police Department,Municipality,MISSISSIPPI,Stone County,Task Force Model,"Feb 23, 2026","Wiggins, MS 39577",4350
Elsberry Police Department,Municipality,MISSOURI,"Lincoln County ",Task Force Model,"Feb 23, 2026","Elsberry, MO 63343",2084
"Saint Ann Police Department ",Municipality,MISSOURI,St. Louis County,Task Force Model,"Feb 23, 2026","Saint Ann, MO 63074",null
Stoddard County Sheriff's Office,County,MISSOURI,Stoddard County,Task Force Model,"Feb 23, 2026","Bloomfield, MO 63824",28438
Aberdeen Police Department,Municipality,OHIO,Brown County,Task Force Model,"Feb 23, 2026","Aberdeen, OH 45101",1542
"Ottawa County Sheriff's Office ",County,OKLAHOMA,Ottawa County,Task Force Model,"Feb 23, 2026","Miami, OK 74354",30404
Cornwall Borough Police Department,Municipality,PENNSYLVANIA,"Lebanon County ",Task Force Model,"Feb 23, 2026","Cornwall, PA 17016",null
Harleyville Police Department,Municipality,SOUTH CAROLINA,Dorchester County,Task Force Model,"Feb 23, 2026","Harleyville, SC 29448",740
Ridgeway Police Department,Municipality,SOUTH CAROLINA,Fairfield County,Task Force Model,"Feb 23, 2026","Ridgeway, SC 29130",255
Obion County Sheriff's Office,County,TENNESSEE,Obion County,Warrant Service Officer,"Feb 23, 2026","Union City, TN 38261",30261
Overton County Sheriff's Office,County,TENNESSEE,Overton County,Warrant Service Officer,"Feb 23, 2026","Livingston, TN 38570",23551
Bayou Vista Police Department,Municipality,TEXAS,Galveston County,Task Force Model,"Feb 23, 2026","Bayou Vista, TX 77563",1763
Blanco County Sheriff's Office,County,TEXAS,Blanco County,Jail Enforcement Model,"Feb 23, 2026","Johnson City, TX 78636",13358
Gillespie County Sheriff's Office,County,TEXAS,Gillespie County,Task Force Model,"Feb 23, 2026","Fredericksburg, TX 78624",28159
La Vernia Police Department,Municipality,TEXAS,Wilson County,Task Force Model,"Feb 23, 2026","La Vernia, TX 78121",1483
"Nacogdoches County Sheriff's Office ",County,TEXAS,Nacogdoches County,Task Force Model,"Feb 23, 2026","Nacogdoches, TX 75961",65728
Kenova Police Department,Municipality,WEST VIRGINIA,Wayne County,Task Force Model,"Feb 23, 2026","Kenova, WV 25530",2877
Thomasville Police Department,Municipality,ALABAMA,"Clarke County ",Task Force Model,"Feb 25, 2026","Thomasville, GA 31792",3540
Thomas County Sheriff's Office,County,GEORGIA,Thomas County,Jail Enforcement Model,"Feb 25, 2026","Thomasville, GA 31792",46054
Thomas County Sheriff's Office,County,GEORGIA,Thomas County,Task Force Model,"Feb 25, 2026","Thomasville, GA 31792",46054
Thomas County Sheriff's Office,County,GEORGIA,Thomas County,Warrant Service Officer,"Feb 25, 2026","Thomasville, GA 31792",46054
Tate County Sheriff's Office,County,MISSISSIPPI,Tate County,Task Force Model,"Feb 25, 2026","Senatobia, MS 38668",28551
Tate County Sheriff's Office,County,MISSISSIPPI,Tate County,Warrant Service Officer,"Feb 25, 2026","Senatobia, MS 38668",28551
Hillsdale Police Department,Municipality,MISSOURI,St. Louis County,Task Force Model,"Feb 25, 2026","Hillsdale, MO 63121",1185
Reynolds County Sheriff's Office,County,MISSOURI,Reynolds County,Task Force Model,"Feb 25, 2026","Centerville, MO 63633",5927
Okmulgee County Sheriff's Office,County,OKLAHOMA,Okmulgee County,Task Force Model,"Feb 25, 2026","Okmulgee, OK 74447",37084
Raccoon Township Police Department,Municipality,PENNSYLVANIA,Beaver County,Task Force Model,"Feb 25, 2026","Aliquippa, PA 15001",null
Shenandoah Borough Police Department,Municipality,PENNSYLVANIA,"
Schuylkill County",Task Force Model,"Feb 25, 2026","Shenandoah, PA 17976",null
"Grimes County Sheriff's Office ",County,TEXAS,Grimes County,Warrant Service Officer,"Feb 25, 2026","Anderson, TX 77830",33448
Huntington Police Department,Municipality,TEXAS,Angelina County,Task Force Model,"Feb 25, 2026","Huntington, TX 75949",2117
Leonard Police Department,Municipality,TEXAS,Fannin County,Task Force Model,"Feb 25, 2026","Leonard, TX 75452",2203
Doddridge County Sheriff's Office,County,WEST VIRGINIA,Doddridge County,Task Force Model,"Feb 25, 2026","West Union, WV 26456",7615
Franklin County Sheriff's Office,County,ARKANSAS,Franklin County,Task Force Model,"Feb 27, 2026","Charleston, AR 72933",17586
Franklin County Sheriff's Office,County,ARKANSAS,Franklin County,Warrant Service Officer,"Feb 27, 2026","Charleston, AR 72933",17586
Hempstead County Sheriff's Office,County,ARKANSAS,Hempstead County,Task Force Model,"Feb 27, 2026","Hope, AR 71801",19105
Hempstead County Sheriff's Office,County,ARKANSAS,Hempstead County,Warrant Service Officer,"Feb 27, 2026","Hope, AR 71801",19105
Statesboro Police Department,Municipality,GEORGIA,Bulloch County,Task Force Model,"Feb 27, 2026","Statesboro, GA 30458",35226
Pleasantville Police Department,Municipality,OHIO,Fairfield County,Task Force Model,"Feb 27, 2026","Pleasantville, OH 43148",954
Bennington Police Department,Municipality,OKLAHOMA,"Bryan County ",Task Force Model,"Feb 27, 2026","Bennington, OK 74723",322
Ansted Police Department,Municipality,WEST VIRGINIA,Fayette County,Task Force Model,"Feb 27, 2026","Ansted, WV 25812",1288
Winfield Police Department,Municipality,MISSOURI,Lincoln County,Task Force Model,"Mar 1, 2026","Winfield, MO 63389",1637
Franklin Township Police Department,Municipality,PENNSYLVANIA,Beaver County,Task Force Model,"Mar 1, 2026","Fombell, PA 16123",null
Devine Police Department,Municipality,TEXAS,Medina County,Task Force Model,"Mar 1, 2026","Devine, TX 78016",4622
Country Club Hills Police Department,Municipality,MISSOURI,St. Louis County,Task Force Model,"Mar 2, 2026","Country Club Hills, MO 63136",998
Newton County Sheriff's Department,County,MISSISSIPPI,Newton County,Jail Enforcement Model,"Mar 3, 2026","Decatur, MS 39327",21063
Dixon Police Department,Municipality,MISSOURI,Pulaski County,Task Force Model,"Mar 3, 2026","Dixon, MO 65459",1215
Hazard Police Department,Municipality,KENTUCKY,Perry County,Task Force Model,"Mar 6, 2026","Hazard, KY 41701",4808
Rockcastle County Sheriff's Office,County,KENTUCKY,Rockcastle County,Task Force Model,"Mar 6, 2026","Mt Vernon, KY 40456",16226
Breckenridge Hills Police Department,Municipality,MISSOURI,St. Louis County,Task Force Model,"Mar 6, 2026","Overland, MO 63114",4369
Chelsea Police Department,Municipality,OKLAHOMA,Rogers County,Task Force Model,"Mar 6, 2026","Chelsea, OK 74016",1986
Orange Township Police Department,Municipality,PENNSYLVANIA,Columbia County,Task Force Model,"Mar 6, 2026","Orangeville, PA 17859",null
Sevier County Constable District 5,Municipality,TENNESSEE,Sevier County,Task Force Model,"Mar 6, 2026","Sevierville, Tennessee 37862",null
Marion Police Department,Municipality,TEXAS,Guadalupe County,Task Force Model,"Mar 6, 2026","Marion, TX 78124",1098
Atkinson County Sheriff's Office,County,GEORGIA,Atkinson County,Jail Enforcement Model,"Mar 8, 2026","Pearson, GA 31642",8435
Middlesboro Police Department,Municipality,KENTUCKY,Bell County,Task Force Model,"Mar 8, 2026","Middlesboro, KY 40965",8899
Stringtown Police Department,Municipality,OKLAHOMA,Atoka County,Task Force Model,"Mar 8, 2026","Stringtown, OK, 74569",433
Jasper County Sheriff's Office,County,SOUTH CAROLINA,Jasper County,Task Force Model,"Mar 8, 2026","Ridgeland, SC 29936",35618
Baylor County Sheriff's Office,County,TEXAS,Baylor County,Task Force Model,"Mar 8, 2026","Seymour, TX 76380",3533
Johnson County District Attorney's Office,State,TEXAS,Johnson County,Task Force Model,"Mar 8, 2026","Cleburne, Texas 76033",31290831
Lone Star Police Department,Municipality,TEXAS,Morris County,Task Force Model,"Mar 8, 2026","Lone Star, TX 75668",1407
Caribou County Sheriff's Office,County,IDAHO,Caribou County,Warrant Service Officer,"Mar 11, 2026","Soda Springs, ID 83276",7239
Humansville Police Department,Municipality,MISSOURI,"Polk County ",Task Force Model,"Mar 11, 2026","Humansville, MO 65674",939
"Treasure County Sheriff's Office ",County,MONTANA,Treasure County,Task Force Model,"Mar 11, 2026","Hysham, MT 59038",739
Caddo Police Department,Municipality,OKLAHOMA,Bryan County,Task Force Model,"Mar 11, 2026","Caddo, OK 74729",1075
"Hazleton Police Department ",Municipality,PENNSYLVANIA,Luzerne County,Task Force Model,"Mar 11, 2026","Hazleton, PA 18201",30354
Jamestown Police Department,Municipality,SOUTH CAROLINA,Berkeley County,Task Force Model,"Mar 11, 2026","Jamestown, SC 29453",73
"Dickson County Sheriff's Office ",County,TENNESSEE,Dickson County,Warrant Service Officer,"Mar 11, 2026","Charlotte, TN 37036",57641
Brazos County Sheriff's Office,County,TEXAS,Brazos County,Warrant Service Officer,"Mar 11, 2026","Bryan, TX 77803",249624
China Grove Police Department,Municipality,TEXAS,Bexar County,Task Force Model,"Mar 11, 2026","China Grove, TX 78263",1138
"Neuces County Constable Precinct 5 ",County,TEXAS,Nueces County,Task Force Model,"Mar 11, 2026","Robstown, TX 78380",353125
Parker County Sheriff's Office,County,TEXAS,Parker County,Task Force Model,"Mar 11, 2026","Weatherford, TX 76086",179707
Courtland Police Department,Municipality,ALABAMA,Lawrence County,Task Force Model,"Mar 13, 2026","Courtland, AL 35618",593
Scott County Sheriff's Office,County,MISSOURI,Scott County,Task Force Model,"Mar 13, 2026","Benton, MO 63736",37957
Burke County Sheriff's Office,County,NORTH DAKOTA,Burke County,Task Force Model,"Mar 13, 2026","Bowbells, ND 58721",2154
Jamestown Police Department,Municipality,OHIO,Greene County,Task Force Model,"Mar 13, 2026","Jamestown, Ohio 45335",2114
Colbert Police Department,Municipality,OKLAHOMA,Bryan County,Task Force Model,"Mar 13, 2026","Colbert, OK 74733",1105
